Features,Strength
"(1, 5)",31.17855224609375
"(1, 4)",28.28929748535156
"(4, 5)",27.4847900390625
"(1, 3)",25.13680419921875
"(1, 8)",25.004855346679687
"(5, 8)",24.993930053710937
"(1, 6)",24.587615966796875
"(3, 5)",24.156709289550783
"(5, 6)",22.95295867919922
"(3, 4)",22.718898010253906
"(4, 6)",22.469410705566407
"(3, 6)",22.29949035644531
"(4, 8)",22.06842956542969
"(1, 7)",21.22259521484375
"(4, 7)",20.38862762451172
"(5, 7)",19.915753173828126
"(3, 7)",19.378077697753906
"(1, 2)",19.322146606445312
"(3, 8)",19.010049438476564
"(2, 4)",18.845967102050782
"(6, 7)",18.632952880859374
"(6, 8)",18.526797485351562
"(2, 3)",17.88712158203125
"(7, 8)",17.671771240234374
"(2, 5)",17.566864013671875
"(2, 6)",17.476470947265625
"(2, 7)",16.623138427734375
"(2, 8)",15.96204833984375
