Features,Strength
"(4, 7)",33.18647461198275
"(4, 5, 7)",6.171020203828829
"(2, 4, 7)",5.6092010471504405
"(4, 6)",3.4130779504776987
"(3, 4)",2.0476655662060326
"(4, 7, 11)",2.0389480859041216
"(2, 4)",1.9908926897682444
"(4, 6, 7)",1.9528662666678578
"(4, 5, 6, 7)",1.785621747374551
"(4, 9, 10)",1.766808226704606
"(2, 4, 5, 7)",1.243185704946518
"(4, 9)",1.0441175699234353
"(2, 4, 7, 11)",1.0220450222492414
"(8, 11)",0.9785389900208366
"(2, 4, 6, 7)",0.916737538576126
"(4, 7, 8)",0.897316751210019
"(2, 3, 4)",0.8710935294628144
"(9, 10)",0.8355609893798828
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",0.8283173422698769
"(1, 2, 9)",0.6176897525787354
"(1, 4, 7)",0.6119782969355647
"(1, 3)",0.5754554450512209
"(3, 4, 9)",0.564316844940194
"(7, 11)",0.5392914652824942
"(4, 5)",0.5372565627098205
"(4, 10)",0.5229096174240421
"(3, 4, 7)",0.5059961222112179
"(1, 2)",0.48279371261598153
"(2, 8)",0.4809344232082645
"(3, 9)",0.4685830116272129
"(2, 3, 4, 11)",0.4653297305107117
"(4, 12)",0.4588801205158445
"(9, 10, 11)",0.4542597770690918
"(4, 7, 8, 11)",0.4301938354969083
"(4, 7, 9, 10)",0.42381711602211
"(1, 4)",0.39702084362508194
"(4, 7, 10)",0.3829115658998489
"(3, 4, 7, 11)",0.3816514670848846
"(2, 4, 11)",0.3777552306652069
"(6, 8)",0.37557497024546255
"(6, 9)",0.35306751728058894
"(1, 6, 8)",0.35171172618865965
"(7, 9)",0.3492304027080536
"(3, 4, 6, 7, 8)",0.3421591967344284
"(1, 7, 9, 10)",0.33779958486557005
"(2, 11)",0.3377698123455182
"(7, 10, 11)",0.3352496862411499
"(7, 8)",0.3051685333252187
"(2, 4, 7, 9)",0.3038214683532715
"(1, 3, 4, 7, 8)",0.302825403213501
"(1, 9, 10, 11)",0.29983043670654297
"(3, 4, 7, 8)",0.299301353096962
"(1, 3, 7)",0.2991492748260498
"(4, 5, 6)",0.29685716032984005
"(1, 2, 5, 9)",0.2938218593597412
"(1, 8, 10)",0.28630936145783836
"(6, 7, 8)",0.2832134604454041
"(2, 4, 5, 7, 9)",0.27626092433929444
"(1, 9)",0.27165820598602297
"(1, 2, 4, 5, 7, 9)",0.27035863399505616
"(4, 6, 7, 8)",0.2662070095539155
"(2, 7)",0.2644353687763301
"(1, 3, 4, 7)",0.25965039134025575
"(3, 7, 10, 11)",0.25604426860809326
"(3, 4, 6)",0.25403094291687617
"(2, 3)",0.2523269891739156
"(6, 11)",0.2506035208702174
"(2, 8, 11)",0.24651601910592208
"(1, 2, 3, 9)",0.23974959850311278
"(4, 9, 12)",0.23962243795394897
"(1, 7, 11)",0.23742992877963695
"(1, 5, 7, 9, 10)",0.2355450689792633
"(3, 10)",0.23522753119469178
"(1, 6, 8, 11)",0.23295719623565675
"(2, 3, 4, 7, 11)",0.23286492824554444
"(3, 4, 5, 9, 10)",0.2297740399837494
"(1, 3, 7, 8)",0.22919690608978271
"(11, 12)",0.22759803384545352
"(2, 3, 4, 9, 10, 11)",0.2241981327533722
"(2, 3, 4, 7, 8)",0.2219835102558136
"(1, 2, 3, 4, 7)",0.22140235900878907
"(4, 7, 8, 11, 12)",0.2189462661743164
"(2, 4, 5, 6, 7)",0.21818398237228392
"(4, 8)",0.21722815036773682
"(1, 2, 3, 4)",0.21528444290162016
"(3, 4, 5, 6, 7)",0.21197887063026427
"(3, 4, 10, 11)",0.20952481031418485
"(2, 4, 5, 6)",0.2087862491607666
"(1, 4, 6, 8, 11)",0.20709781646728515
"(4, 5, 7, 11)",0.2070399522781372
