Features,Strength
"(4, 7)",8.0805419921875
"(4, 6)",3.6720619201660156
"(4, 5)",3.2169540405273436
"(6, 7)",3.069589614868164
"(5, 7)",2.9000911712646484
"(2, 4)",2.7802825927734376
"(3, 4)",2.7572257995605467
"(4, 11)",2.610689163208008
"(4, 9)",2.5954238891601564
"(7, 11)",2.1963077545166017
"(4, 10)",2.1500547409057615
"(3, 7)",2.135432815551758
"(9, 10)",2.13043155670166
"(7, 9)",2.103463363647461
"(9, 11)",2.085333824157715
"(3, 11)",2.065892791748047
"(2, 7)",2.0537883758544924
"(2, 11)",1.981684112548828
"(4, 8)",1.8797618865966796
"(6, 11)",1.847591018676758
"(8, 11)",1.825983428955078
"(3, 9)",1.819045639038086
"(7, 10)",1.7989648818969726
"(7, 8)",1.788156509399414
"(8, 9)",1.7709571838378906
"(3, 8)",1.7485610961914062
"(5, 6)",1.7383419036865235
"(3, 5)",1.7352714538574219
"(1, 4)",1.7286979675292968
"(6, 9)",1.7185436248779298
"(3, 6)",1.7182453155517579
"(2, 9)",1.708486557006836
"(4, 12)",1.6396257400512695
"(5, 11)",1.628675651550293
"(2, 6)",1.6256000518798828
"(1, 7)",1.620962142944336
"(2, 3)",1.6030508041381837
"(6, 8)",1.5885169982910157
"(1, 6)",1.5674742698669433
"(2, 10)",1.5609755516052246
"(6, 12)",1.5550230026245118
"(11, 12)",1.5530311584472656
"(10, 11)",1.5527955055236817
"(1, 3)",1.4873546600341796
"(5, 9)",1.4796924591064453
"(7, 12)",1.4717613220214845
"(2, 8)",1.4520708084106446
"(1, 9)",1.3904630661010742
"(5, 10)",1.3837858200073243
"(9, 12)",1.3822799682617188
"(2, 5)",1.362668228149414
"(1, 8)",1.3428026199340821
"(5, 8)",1.3377328872680665
"(5, 12)",1.333182144165039
"(1, 11)",1.3183289527893067
"(8, 10)",1.316798210144043
"(6, 10)",1.3142895698547363
"(1, 10)",1.3066246032714843
"(3, 10)",1.299481201171875
"(3, 12)",1.2889192581176758
"(8, 12)",1.2876337051391602
"(2, 12)",1.278811264038086
"(1, 5)",1.2759435653686524
"(1, 2)",1.268893337249756
"(10, 12)",1.0595580101013184
"(1, 12)",1.0434453010559082
