Features,Strength
"(1, 2)",7.511683748289974
"(5, 6)",5.658698740601581
"(1, 2, 4, 6)",4.169929212331778
"(4, 6)",3.3046889171004517
"(1, 2, 6)",2.705259374529132
"(1, 2, 3, 4, 5, 6, 7, 8)",1.9470065463421171
"(3, 6)",1.6684026241302927
"(1, 2, 5, 6)",1.5858742502518033
"(4, 8)",1.5748042965308207
"(1, 2, 4, 5, 6, 7)",1.5453051000833593
"(2, 6)",1.1149902239441891
"(1, 2, 4)",0.769970014691369
"(1, 2, 4, 6, 7)",0.7529473759233956
"(6, 7)",0.5439170539379173
"(1, 2, 6, 7)",0.5155894517898584
"(1, 2, 5, 6, 7)",0.4462726362049609
"(5, 6, 8)",0.4035091519355774
"(3, 6, 8)",0.3630183219909771
