Features,Strength
"(1, 2)",2.9982866287231444
"(5, 6)",2.7552183151245115
"(4, 6)",2.626947212219238
"(2, 6)",2.5510843276977537
"(1, 6)",2.358376693725586
"(2, 4)",2.010100173950195
"(1, 4)",1.9270973205566406
"(2, 5)",1.8317251205444336
"(3, 6)",1.809304428100586
"(6, 7)",1.7787933349609375
"(1, 5)",1.748357391357422
"(6, 8)",1.7124534606933595
"(4, 8)",1.5462724685668945
"(5, 7)",1.5400505065917969
"(2, 7)",1.515106773376465
"(5, 8)",1.4363149642944335
"(3, 8)",1.4323955535888673
"(4, 5)",1.4280221939086915
"(4, 7)",1.4253015518188477
"(1, 7)",1.374697494506836
"(3, 5)",1.3151649475097655
"(2, 8)",1.3009867668151855
"(1, 8)",1.2589102745056153
"(7, 8)",1.2567270278930665
"(1, 3)",1.1451766967773438
"(3, 7)",1.071350383758545
"(2, 3)",1.0410445213317872
"(3, 4)",1.035536003112793
