Features,Strength
"(3, 8)",7.911887359619145
"(3, 20)",4.279406642913818
"(8, 12)",3.418122434616089
"(22, 23)",2.7720263957977496
"(1, 3)",2.5635332107543944
"(3, 14)",2.482023310661323
"(3, 8, 25, 26)",1.7457744598388671
"(2, 9, 20, 30)",1.7198757171630858
"(8, 12, 17)",1.5578713417053223
"(3, 8, 12)",1.5355220317840577
"(2, 12)",1.3963674545288278
"(3, 8, 24)",1.3700237274169922
"(3, 20, 24)",1.2167952060699463
"(8, 17)",1.189922475814821
"(1, 3, 20)",1.1193329334259032
"(2, 20, 30)",1.101304566860199
"(2, 3, 6, 14, 20)",1.0284170866012574
"(22, 23, 24)",0.9842684507369995
"(3, 8, 26)",0.9492205619812012
"(3, 8, 25)",0.934364128112793
"(6, 22, 23, 24)",0.9125367403030396
"(8, 9, 11)",0.8743937015533447
"(2, 6, 9, 20, 30)",0.8649741649627686
"(3, 24)",0.8459722518920898
"(10, 30)",0.8363332271575956
"(10, 22, 23)",0.825698447227478
"(1, 3, 17, 20)",0.8199649572372436
"(3, 6, 14)",0.8191883325576782
"(8, 9)",0.7739880561828614
"(10, 22, 23, 24)",0.7555872440338135
"(3, 8, 20)",0.7481800317764282
"(3, 8, 9, 11, 25, 26)",0.718501615524292
"(2, 12, 14)",0.6718776941299438
"(6, 23)",0.6693311095237836
"(2, 30)",0.6691053867340088
"(2, 3, 8, 20)",0.6680705547332764
"(6, 9, 23)",0.6546528697013855
"(2, 9, 20)",0.6393383264541626
"(3, 4, 8)",0.6302648544311523
"(3, 8, 20, 25, 26)",0.6132586479187012
"(2, 9, 14, 20, 30)",0.6128293633460998
"(3, 4)",0.6121294975280808
"(14, 30)",0.5810615539550781
"(8, 10, 14, 30)",0.579622495174408
"(3, 8, 12, 24)",0.579474663734436
"(2, 3, 4)",0.575273084640503
"(2, 8, 9, 14, 20, 30)",0.5732764005661011
"(2, 3, 6, 14)",0.5713073492050171
"(3, 4, 8, 24)",0.5578969478607178
"(8, 9, 11, 26)",0.5573696613311767
"(3, 4, 8, 12, 24)",0.5543777942657471
"(6, 8, 22, 23, 24)",0.5479983806610107
"(10, 14, 30)",0.5349290370941162
"(8, 9, 11, 25, 26)",0.5222508907318115
