Features,Strength
"(3, 8)",12.54049072265625
"(3, 20)",9.505248260498046
"(8, 12)",8.766407012939453
"(2, 20)",8.110264587402344
"(2, 3)",6.68946533203125
"(2, 8)",6.451657104492187
"(2, 9)",6.33543701171875
"(8, 24)",5.997382736206054
"(8, 20)",5.896443939208984
"(2, 12)",5.815409851074219
"(3, 24)",5.675263214111328
"(9, 20)",5.56231803894043
"(8, 9)",5.5230224609375
"(6, 9)",5.047389221191406
"(3, 12)",4.9646766662597654
"(1, 3)",4.91929817199707
"(8, 17)",4.904806518554688
"(12, 17)",4.866914367675781
"(4, 8)",4.8651378631591795
"(2, 14)",4.785887908935547
"(3, 17)",4.588938140869141
"(17, 20)",4.558797454833984
"(2, 17)",4.5536235809326175
"(20, 24)",4.492604827880859
"(2, 11)",4.279561614990234
"(2, 6)",4.247789001464843
"(6, 20)",4.191463470458984
"(2, 30)",4.149810791015625
"(9, 30)",4.145124053955078
"(9, 23)",3.990569305419922
"(3, 9)",3.947648620605469
"(6, 24)",3.9343708038330076
"(23, 24)",3.905656433105469
"(2, 4)",3.8820205688476563
"(12, 20)",3.8506351470947267
"(6, 8)",3.8255233764648438
"(3, 14)",3.8222618103027344
"(22, 23)",3.8155174255371094
"(8, 22)",3.8114700317382812
"(3, 11)",3.8062454223632813
"(4, 24)",3.7882007598876952
"(9, 24)",3.7750389099121096
"(3, 4)",3.735540008544922
"(6, 23)",3.7219478607177736
"(14, 20)",3.686357116699219
"(4, 12)",3.6603939056396486
"(8, 11)",3.6266178131103515
"(9, 11)",3.607895278930664
"(2, 24)",3.6060508728027343
"(20, 30)",3.597617340087891
"(11, 20)",3.579967498779297
"(8, 14)",3.548541259765625
"(9, 22)",3.5192047119140626
"(22, 24)",3.477308654785156
"(25, 26)",3.431558609008789
"(3, 26)",3.4051162719726564
"(8, 26)",3.3652103424072264
"(9, 12)",3.3021404266357424
"(4, 9)",3.289051055908203
"(3, 25)",3.2631595611572264
"(12, 14)",3.255900192260742
"(1, 20)",3.2536876678466795
"(8, 25)",3.2312599182128907
"(9, 14)",3.1569545745849608
"(6, 14)",3.1567359924316407
"(4, 22)",3.0985015869140624
"(12, 24)",3.062308692932129
"(8, 23)",3.0504074096679688
"(6, 22)",3.016590118408203
"(4, 20)",2.9777732849121095
"(9, 17)",2.891207695007324
"(3, 6)",2.879376983642578
"(8, 30)",2.8726451873779295
"(6, 30)",2.830728530883789
"(2, 22)",2.758131980895996
"(4, 17)",2.734991264343262
"(4, 23)",2.685447883605957
"(6, 12)",2.6851707458496095
"(4, 6)",2.6730859756469725
"(14, 30)",2.607786750793457
"(14, 17)",2.596230697631836
"(17, 24)",2.5875408172607424
"(11, 17)",2.5416000366210936
"(1, 24)",2.487178421020508
"(12, 22)",2.461322021484375
"(11, 12)",2.4492483139038086
"(1, 17)",2.3689830780029295
"(2, 23)",2.3100860595703123
"(3, 23)",2.29112548828125
"(6, 17)",2.2805824279785156
"(1, 2)",2.2725379943847654
"(1, 8)",2.245187759399414
"(1, 9)",2.210328483581543
"(22, 30)",2.1949832916259764
"(10, 22)",2.194677543640137
"(20, 23)",2.1750724792480467
"(1, 12)",2.1354900360107423
"(20, 22)",2.0829044342041017
"(4, 11)",2.079343795776367
"(12, 23)",2.068572235107422
"(11, 14)",2.0446916580200196
"(8, 10)",2.0294216156005858
"(14, 23)",2.0273117065429687
"(11, 24)",2.0167509078979493
"(4, 14)",2.0165449142456056
"(14, 22)",1.991680908203125
"(1, 4)",1.963125991821289
"(1, 6)",1.9290218353271484
"(10, 30)",1.9226123809814453
"(11, 30)",1.8725641250610352
"(14, 24)",1.8597801208496094
"(17, 23)",1.8448623657226562
"(9, 10)",1.8272550582885743
"(10, 23)",1.8102077484130858
"(6, 11)",1.7960968017578125
"(10, 24)",1.774995994567871
"(1, 23)",1.7660423278808595
"(9, 26)",1.7569639205932617
"(17, 22)",1.6870456695556642
"(11, 26)",1.6524080276489257
"(9, 25)",1.634577751159668
"(24, 30)",1.6282926559448243
"(4, 30)",1.61826171875
"(1, 22)",1.5922796249389648
"(11, 25)",1.5769148826599122
"(3, 30)",1.5756401062011718
"(6, 10)",1.53272705078125
"(12, 30)",1.524134063720703
"(1, 11)",1.5039173126220704
"(20, 26)",1.5015047073364258
"(3, 22)",1.4914114952087403
"(10, 14)",1.4855737686157227
"(1, 14)",1.4763286590576172
"(23, 30)",1.4396358489990235
"(20, 25)",1.430806541442871
"(2, 26)",1.427086067199707
"(4, 10)",1.4115469932556153
"(11, 23)",1.3973552703857421
"(2, 25)",1.3944988250732422
"(11, 22)",1.3746088981628417
"(17, 30)",1.215865707397461
"(10, 12)",1.148543930053711
"(17, 26)",1.0924896240234374
"(2, 10)",1.007345962524414
"(17, 25)",0.9938089370727539
"(1, 30)",0.9731842994689941
"(12, 27)",0.8685170173645019
"(6, 27)",0.8618475914001464
"(20, 27)",0.8447299003601074
"(1, 10)",0.8178203582763672
"(9, 27)",0.770815372467041
"(10, 17)",0.746615219116211
"(17, 27)",0.7233137607574462
"(10, 20)",0.7125884056091308
"(12, 26)",0.701134204864502
"(3, 27)",0.6974536895751953
"(3, 10)",0.6915399551391601
"(24, 27)",0.6891064167022705
"(10, 11)",0.6730175971984863
"(4, 27)",0.6589173793792724
"(1, 27)",0.6516636848449707
"(6, 15)",0.6480068683624267
"(12, 25)",0.6385391235351563
"(2, 27)",0.6320140361785889
"(14, 27)",0.6292769908905029
"(8, 27)",0.6214869976043701
"(6, 26)",0.6133635997772217
"(6, 25)",0.5804413318634033
"(23, 27)",0.5659095764160156
"(22, 27)",0.5456803321838379
"(14, 26)",0.527885627746582
"(14, 25)",0.5154590606689453
"(11, 27)",0.5094430923461915
"(24, 26)",0.5063916206359863
"(22, 26)",0.49826812744140625
"(4, 26)",0.4921537399291992
"(4, 25)",0.4705192565917969
"(23, 26)",0.4513575553894043
"(6, 18)",0.44908127784729
"(1, 26)",0.44857378005981446
"(15, 18)",0.4430526256561279
"(6, 7)",0.44118728637695315
"(23, 25)",0.4348618030548096
"(9, 15)",0.4321849822998047
"(15, 20)",0.4294079303741455
"(10, 26)",0.428297233581543
"(24, 25)",0.42444381713867185
"(7, 20)",0.41031994819641116
"(22, 25)",0.4101110458374023
"(7, 14)",0.4100366115570068
"(20, 29)",0.4073763370513916
"(15, 22)",0.4068282604217529
"(26, 30)",0.3979199886322021
"(2, 15)",0.39233582019805907
"(7, 12)",0.38911335468292235
"(12, 15)",0.38714768886566164
"(7, 8)",0.3812753438949585
"(7, 9)",0.38008909225463866
"(1, 25)",0.3800551414489746
"(7, 23)",0.3762351989746094
"(8, 29)",0.3706198692321777
"(2, 7)",0.368154239654541
"(2, 29)",0.3635888576507568
"(9, 29)",0.363289475440979
"(4, 15)",0.36305999755859375
"(14, 29)",0.36096556186676027
"(14, 15)",0.3578580379486084
"(6, 29)",0.3512734889984131
"(15, 17)",0.34821429252624514
"(10, 27)",0.3402914047241211
"(9, 18)",0.33763196468353274
"(12, 29)",0.33686676025390627
"(7, 17)",0.3362843990325928
"(15, 23)",0.3357387542724609
"(25, 30)",0.3292273759841919
"(4, 29)",0.3291478633880615
"(10, 25)",0.3281808376312256
"(24, 29)",0.3272890090942383
"(8, 15)",0.3251911163330078
"(7, 24)",0.3248624801635742
"(2, 18)",0.3220954656600952
"(1, 7)",0.3188605546951294
"(27, 30)",0.3141180992126465
"(4, 7)",0.3079825401306152
"(7, 29)",0.30737929344177245
"(1, 29)",0.30599384307861327
"(23, 29)",0.305452823638916
"(18, 22)",0.3052476167678833
"(11, 15)",0.30431716442108153
"(17, 29)",0.3023519515991211
"(7, 11)",0.30120253562927246
"(3, 7)",0.2965587854385376
"(12, 18)",0.29534220695495605
"(9, 19)",0.2829872131347656
"(11, 29)",0.2804386138916016
"(7, 22)",0.2763515949249268
"(12, 19)",0.27125651836395265
"(8, 18)",0.2663442611694336
"(22, 29)",0.2646451473236084
"(20, 28)",0.25676498413085935
"(2, 19)",0.2566210269927979
"(1, 15)",0.25439469814300536
"(3, 15)",0.25422990322113037
"(28, 29)",0.2513552665710449
"(9, 28)",0.24779701232910156
"(19, 20)",0.24597718715667724
"(3, 29)",0.24440217018127441
"(15, 30)",0.24418556690216064
"(7, 27)",0.24364194869995118
"(17, 18)",0.24327704906463624
"(14, 18)",0.23722512722015382
"(29, 30)",0.23621797561645508
"(18, 20)",0.23459713459014891
"(2, 28)",0.2323085308074951
"(11, 18)",0.23168158531188965
"(8, 28)",0.23036751747131348
"(14, 19)",0.22669384479522706
"(9, 21)",0.22578792572021483
"(6, 28)",0.22558510303497314
"(14, 28)",0.22313308715820312
"(12, 28)",0.2224562168121338
"(19, 23)",0.22160522937774657
"(4, 19)",0.21822900772094728
"(22, 28)",0.2156043291091919
"(15, 24)",0.21473195552825927
"(10, 15)",0.2137660026550293
"(2, 21)",0.21296770572662355
"(18, 23)",0.21243643760681152
"(7, 28)",0.21181941032409668
"(1, 19)",0.20735790729522705
"(24, 28)",0.20639572143554688
"(4, 28)",0.20637340545654298
"(9, 16)",0.20625381469726561
"(19, 22)",0.20391597747802734
"(1, 18)",0.20349736213684083
"(18, 30)",0.20255858898162843
"(5, 29)",0.2004382610321045
"(8, 19)",0.20030875205993653
"(3, 18)",0.19936834573745726
"(12, 21)",0.19879539012908937
"(6, 19)",0.19779596328735352
"(19, 24)",0.1959884285926819
"(5, 9)",0.1953667163848877
"(2, 16)",0.19501887559890746
"(1, 28)",0.19489554166793824
"(15, 27)",0.1937671422958374
"(17, 28)",0.19236524105072023
"(5, 20)",0.19215588569641112
"(20, 21)",0.19129037857055664
"(18, 24)",0.1912622332572937
"(7, 13)",0.19082963466644287
"(15, 26)",0.19072483777999877
"(15, 25)",0.19020910263061525
"(16, 20)",0.18895725011825562
"(14, 21)",0.18776509761810303
"(9, 13)",0.1875508189201355
"(7, 30)",0.18715659379959107
