Features,Strength
"(8, 15)",167.9096923828125
"(13, 15)",164.7901611328125
"(9, 15)",160.5067138671875
"(8, 9)",149.6868896484375
"(11, 15)",144.50728759765624
"(9, 13)",141.64324951171875
"(5, 13)",133.68182373046875
"(12, 15)",132.99580078125
"(8, 13)",130.73433837890624
"(5, 9)",129.754150390625
"(8, 11)",129.39417724609376
"(9, 11)",128.5698974609375
"(5, 15)",125.305322265625
"(12, 13)",123.2904541015625
"(8, 10)",121.6496337890625
"(5, 8)",120.6919677734375
"(10, 15)",119.539501953125
"(8, 12)",119.3605712890625
"(11, 12)",119.19515380859374
"(11, 13)",115.4290771484375
"(9, 12)",114.6614501953125
"(15, 16)",114.45048828125
"(10, 12)",108.87373046875
"(1, 8)",108.84197998046875
"(5, 12)",107.36806640625
"(6, 13)",107.23258056640626
"(3, 13)",106.014697265625
"(7, 15)",105.31357421875
"(10, 13)",104.095361328125
"(5, 11)",103.91162109375
"(10, 11)",102.63079833984375
"(1, 15)",102.4660400390625
"(3, 15)",102.16296997070313
"(13, 16)",101.71083374023438
"(1, 5)",100.38641357421875
"(4, 15)",99.98981323242188
"(1, 9)",99.67278442382812
"(4, 12)",99.6605224609375
"(1, 13)",99.296435546875
"(4, 8)",99.0730224609375
"(9, 16)",98.35020751953125
"(8, 14)",98.315771484375
"(6, 15)",98.0116455078125
"(8, 16)",97.81130981445312
"(3, 9)",97.6005615234375
"(14, 15)",97.403271484375
"(4, 13)",97.3064697265625
"(12, 16)",97.28598022460938
"(1, 10)",96.890625
"(1, 11)",96.81221923828124
"(11, 14)",96.14138793945312
"(5, 16)",96.12930908203126
"(6, 12)",96.01019897460938
"(9, 10)",95.89832153320313
"(5, 10)",95.72730102539063
"(6, 8)",94.95800170898437
"(4, 5)",93.62347412109375
"(7, 13)",93.17364501953125
"(3, 8)",93.1319580078125
"(3, 5)",92.719580078125
"(11, 16)",92.31607666015626
"(3, 12)",92.209521484375
"(6, 9)",91.56897583007813
"(1, 12)",91.1918701171875
"(10, 16)",90.94232177734375
"(4, 11)",90.90469360351562
"(4, 9)",90.77941284179687
"(7, 12)",90.48114013671875
"(7, 11)",89.81270751953124
"(6, 11)",89.6377197265625
"(6, 10)",88.6165771484375
"(5, 6)",88.0807373046875
"(12, 14)",87.72366333007812
"(13, 14)",87.15844116210937
"(7, 8)",87.06475830078125
"(10, 14)",87.03272705078125
"(9, 14)",86.83302001953125
"(7, 9)",86.10542602539063
"(4, 10)",85.679052734375
"(5, 7)",85.37825317382813
"(1, 14)",83.4781982421875
"(5, 14)",83.07046508789062
"(3, 11)",81.87915649414063
"(7, 16)",80.34561767578126
"(3, 10)",79.7344970703125
"(6, 16)",79.71036376953126
"(1, 16)",79.60848388671874
"(1, 6)",79.100146484375
"(3, 4)",76.99569091796874
"(1, 4)",76.90963134765624
"(1, 3)",76.882763671875
"(6, 7)",75.46781616210937
"(4, 14)",74.4659423828125
"(4, 7)",73.81239013671875
"(6, 14)",73.75538940429688
"(14, 16)",73.6460205078125
"(4, 6)",73.2491455078125
"(7, 10)",72.98447875976562
"(4, 16)",71.51129150390625
"(3, 6)",71.037451171875
"(3, 7)",69.77119140625
"(3, 16)",68.08333129882813
"(3, 14)",67.2446044921875
"(2, 12)",67.1910888671875
"(7, 14)",66.3123779296875
"(2, 15)",66.28599243164062
"(2, 8)",64.37593994140624
"(1, 7)",64.33843994140625
"(2, 13)",63.16695556640625
"(2, 5)",62.96680908203125
"(2, 11)",61.9248779296875
"(2, 10)",61.48485107421875
"(2, 4)",60.85919189453125
"(2, 9)",60.060479736328126
"(1, 2)",57.49990234375
"(2, 6)",56.08453369140625
"(2, 16)",55.7846435546875
"(2, 3)",55.32938232421875
"(2, 14)",54.172247314453124
"(2, 7)",52.77880859375
