Features,Strength
"(9, 10)",34.39443740844727
"(13, 15)",24.55731964111328
"(8, 13)",23.502616500854494
"(8, 9)",22.939910888671875
"(10, 15)",19.439947891235352
"(13, 14)",18.89416522979762
"(8, 11)",18.501777839660882
"(10, 12)",18.09925413131714
"(8, 15)",17.01657066345215
"(9, 10, 12)",16.60875129699707
"(9, 13, 15)",16.27017135620117
"(3, 9, 13, 15)",14.219745635986328
"(5, 15)",14.000526046753137
"(6, 15)",13.84129028320343
"(6, 11)",13.60090637207048
"(6, 13, 15)",12.528700065612988
"(12, 16)",12.29488229751587
"(7, 12)",12.265182971954557
"(10, 11, 14)",11.841814041137695
"(9, 10, 11, 12)",11.49591293334961
"(1, 5, 11)",11.37677173614502
"(14, 15)",11.373310089111328
"(7, 10, 15)",11.149661636352539
"(12, 14)",10.913724231719971
"(5, 7, 10, 15, 16)",10.226929855346679
"(9, 13, 14)",10.064082908630372
"(7, 9, 10)",10.039859771728516
"(4, 12)",9.834654998779412
"(9, 10, 11, 12, 13)",9.57122802734375
"(2, 4, 12)",9.46292953491211
"(5, 6, 15)",9.30477523803711
"(11, 15)",8.746256446838535
"(13, 16)",8.534438323974609
"(8, 9, 13)",8.422147369384765
"(8, 9, 11)",8.301971435546875
"(1, 8, 15)",8.269472122192383
"(5, 6, 8, 15)",8.168813323974609
"(8, 9, 11, 13)",8.057001495361328
"(6, 11, 13, 15)",8.011239624023437
"(6, 9)",7.992379760742187
"(1, 8, 16)",7.847914123535157
"(6, 9, 11, 13, 15)",7.782798767089844
"(2, 4, 10, 12)",7.756742095947265
"(8, 12)",7.44906005859375
"(8, 9, 12)",7.372808837890625
"(8, 13, 14)",7.2626220703125
"(8, 9, 14, 15)",7.168530464172363
"(5, 6, 8, 13, 15)",7.096060943603516
"(3, 5, 9, 13, 15)",7.088066101074219
"(8, 9, 13, 16)",7.073574829101562
"(8, 9, 13, 14)",6.985179138183594
"(7, 9, 10, 13)",6.937934875488281
"(5, 14, 15)",6.934352874755859
"(1, 5, 8, 16)",6.884703063964844
"(5, 13, 14, 15)",6.827935791015625
"(1, 4, 6, 8, 9)",6.7639368057250975
"(1, 2, 5, 8, 16)",6.636473846435547
"(6, 8, 9, 11, 13, 15)",6.389662551879883
"(2, 12, 14)",6.268277740478515
"(7, 9, 10, 13, 15)",6.245095062255859
"(1, 4, 6, 8, 9, 15)",6.226724243164062
"(2, 4, 12, 14)",6.2030986785888675
"(7, 10, 12)",6.182497024536133
"(3, 11)",6.139941024780273
"(2, 8, 9, 12)",6.086569595336914
"(2, 5, 6, 8, 13, 15)",6.027058410644531
"(6, 10, 11, 14)",6.011563491821289
"(1, 2, 5, 8, 12, 16)",6.010168838500976
"(6, 11, 16)",5.935306167602539
"(4, 5, 7, 10, 15, 16)",5.932295227050782
"(7, 10, 11, 12)",5.83612174987793
"(7, 9, 10, 13, 15, 16)",5.818600082397461
"(1, 2, 4, 5, 8, 12, 16)",5.798600387573242
"(5, 10, 13, 14, 15)",5.64788932800293
"(2, 4, 9, 12, 14)",5.515079498291016
"(2, 7, 10, 11, 12)",5.48541030883789
"(3, 5, 9, 12, 13, 15)",5.461296463012696
"(3, 10, 12)",5.223969268798828
"(3, 9, 10, 13, 15)",5.176536178588867
"(3, 4, 11)",5.1661521911621096
"(1, 2, 8, 9, 12)",5.066839218139648
"(6, 13, 16)",4.999034976959228
"(3, 4, 11, 16)",4.971537399291992
"(4, 5, 7, 9, 10, 15, 16)",4.926953887939453
"(7, 9, 10, 13, 14, 15, 16)",4.864933776855469
"(1, 2, 8, 9, 12, 15)",4.812814712524414
"(1, 5, 10, 13, 14, 15)",4.81152114868164
"(3, 4, 11, 12, 16)",4.753136062622071
"(3, 9, 10, 15, 16)",4.743868255615235
"(8, 10, 13)",4.731525039672851
"(7, 9, 10, 11, 13, 14, 15, 16)",4.725732803344727
"(3, 10, 12, 14)",4.657366561889648
"(7, 8, 9, 10, 11, 13, 14, 15, 16)",4.6455535888671875
"(3, 8, 9, 10, 13, 15)",4.635992050170898
"(3, 6, 9, 13)",4.566921615600586
"(5, 9, 10, 11, 12, 13)",4.5534313201904295
"(6, 12, 16)",4.547920906543732
"(1, 5, 10, 11, 13, 14, 15)",4.513444137573242
"(7, 12, 13)",4.509285354614258
"(1, 2, 4, 10, 12)",4.433766555786133
"(6, 7, 9)",4.431873321533203
"(6, 8, 9, 13, 16)",4.395796585083008
"(3, 4, 5, 7, 9, 10, 15, 16)",4.360247039794922
"(3, 4, 8, 11, 12, 16)",4.360115051269531
"(1, 14, 16)",4.324903869628907
"(1, 2, 4, 8, 10, 12)",4.296830749511718
"(6, 9, 10)",4.261338424682617
"(2, 5, 6, 7, 8, 13, 15)",4.24052619934082
"(7, 12, 13, 16)",4.22891845703125
"(1, 3, 9, 10, 15, 16)",4.206902313232422
"(5, 6, 10, 11, 14)",4.206834411621093
"(1, 5, 10, 11, 13, 14, 15, 16)",4.146610260009766
"(1, 2, 3, 8, 9, 12, 15)",4.145414352416992
"(3, 4, 5, 7, 8, 9, 10, 15, 16)",4.109798431396484
"(6, 10, 11, 16)",4.046730422973633
"(3, 8, 9, 10, 11, 13, 15)",4.025086975097656
"(1, 5, 9)",4.0147544860839846
"(4, 6, 7, 9)",4.0064750671386715
"(4, 6, 7, 9, 15)",3.9705108642578124
"(5, 7, 12, 13, 16)",3.9703392028808593
"(4, 6, 7, 9, 13, 15)",3.9658313751220704
"(1, 8, 13, 15)",3.964695358276367
"(1, 3, 9, 10, 11, 15, 16)",3.944355773925781
"(4, 6, 7, 8, 9, 13, 15)",3.9297576904296876
"(1, 3, 4, 9, 10, 11, 15, 16)",3.925572967529297
"(6, 9, 10, 11)",3.78330078125
"(2, 5, 9, 10, 11, 12, 13)",3.7740989685058595
"(1, 6, 8, 9, 11, 13, 15)",3.7445404052734377
"(1, 2, 3, 4, 9, 10, 11, 15, 16)",3.7413219451904296
"(6, 7, 8, 13, 16)",3.699905014038086
"(8, 12, 13, 14)",3.6961074829101563
"(2, 4, 5, 6, 7, 8, 13, 15)",3.692508316040039
"(5, 6, 8, 9, 13, 16)",3.6720996856689454
"(2, 3, 4, 8, 11, 12, 16)",3.6536514282226564
"(1, 2, 3, 5, 8, 9, 12, 15)",3.6488967895507813
"(7, 8, 10, 12, 13)",3.6460006713867186
"(9, 10, 12, 13, 16)",3.6271724700927734
"(3, 5, 8, 9, 12, 13, 15)",3.6204860687255858
"(1, 2, 4, 8, 9, 10, 12)",3.6034889221191406
"(4, 7, 8, 9, 10, 11, 13, 14, 15, 16)",3.5839160919189452
"(9, 10, 12, 13, 14, 16)",3.583182525634766
"(2, 4, 8, 9, 12, 14)",3.5830265045166017
"(8, 12, 13, 14, 15)",3.5532482147216795
"(3, 4, 5, 7, 8, 9, 10, 12, 15, 16)",3.526394271850586
"(3, 6, 9, 12, 13)",3.512141799926758
"(3, 5, 8, 9, 10, 11, 13, 15)",3.511572265625
"(1, 2, 4, 6, 8, 9, 10, 12)",3.489008331298828
"(4, 6, 12, 16)",3.4870758056640625
"(1, 3, 13, 15)",3.463722991943359
"(1, 3, 5, 8, 9, 12, 13, 15)",3.45428581237793
"(3, 10, 12, 14, 15)",3.4443031311035157
"(5, 8, 9, 13, 14, 15)",3.435028839111328
"(4, 6, 7, 8, 9, 13, 14, 15)",3.4153751373291015
"(1, 5, 6, 10, 11, 13, 14, 15, 16)",3.3847984313964843
"(1, 3, 5, 11, 13, 15)",3.3751094818115233
"(2, 4, 5, 6, 7, 8, 13, 14, 15)",3.350014495849609
"(5, 12, 14, 16)",3.335795211791992
"(6, 8, 9, 10, 11)",3.311728286743164
"(3, 5, 10, 12, 14, 15)",3.304777908325195
"(3, 5, 8, 10, 12, 14, 15)",3.228977584838867
"(4, 5, 8, 9, 13, 14, 15)",3.219821548461914
"(6, 9, 10, 11, 16)",3.1540782928466795
"(4, 5, 6, 8, 9, 13, 14, 15)",3.149380683898926
"(4, 9, 10, 12, 13, 14, 16)",3.1241195678710936
"(2, 4, 8, 9, 12, 14, 15)",3.1002212524414063
"(1, 2, 3, 5, 8, 9, 10, 12, 15)",3.067725944519043
"(2, 6, 8, 9, 10, 11)",3.019624710083008
"(2, 4, 8, 9, 12, 13, 14, 15)",3.018433952331543
"(1, 5, 6, 7, 10, 11, 13, 14, 15, 16)",3.0165790557861327
"(6, 8, 9, 10, 11, 16)",2.9777557373046877
"(5, 7, 12, 13, 15, 16)",2.959288215637207
"(1, 2, 4, 5, 8, 9, 12, 16)",2.916585350036621
"(6, 8, 9, 10, 11, 14, 16)",2.906647872924805
"(2, 5, 8, 9, 10, 11, 12, 13)",2.883610725402832
"(1, 2, 3, 4, 6, 8, 9, 10, 12)",2.871046257019043
"(6, 7, 8, 11, 13, 16)",2.8625204086303713
"(1, 3, 4, 6, 8, 9, 15)",2.8347299575805662
"(1, 2, 4, 5, 6, 8, 9, 12, 16)",2.825222206115723
"(1, 2, 4, 5, 6, 8, 9, 10, 12, 16)",2.8144554138183593
"(1, 2, 4, 5, 6, 8, 9, 10, 12, 14, 16)",2.811850166320801
"(1, 2, 4, 13, 15)",2.7841039657592774
"(1, 3, 4, 6, 8, 9, 10, 15)",2.77677059173584
"(6, 7, 8, 11, 12, 13, 16)",2.764796257019043
"(2, 5, 7, 8, 9, 10, 11, 12, 13)",2.7561529159545897
"(4, 6, 7, 8, 9, 12, 13, 14, 15)",2.746217155456543
"(1, 3, 5, 11, 12, 13, 15)",2.744853210449219
"(2, 3, 4, 7, 8, 11, 12, 16)",2.7294965744018556
"(3, 5, 8, 9, 10, 11, 13, 15, 16)",2.72696590423584
"(5, 6, 8, 9, 13, 14, 16)",2.723704528808594
"(1, 2, 3, 4, 6, 8, 9, 10, 15)",2.7015880584716796
"(5, 12, 13, 14, 16)",2.682026481628418
"(1, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16)",2.6509572982788088
"(1, 6, 8, 9, 11, 13, 14, 15)",2.636096954345703
"(1, 2, 4, 5, 6, 8, 9, 10, 12, 14, 15, 16)",2.615120506286621
"(1, 4, 7, 8, 9, 10, 13, 14, 16)",2.6121248245239257
"(1, 3, 5, 7, 11, 12, 13, 15)",2.6115928649902345
"(1, 6, 8, 9, 11, 13, 14, 15, 16)",2.6088176727294923
"(1, 2, 4, 6, 13, 15)",2.6064624786376953
"(5, 6, 8, 9, 10, 13, 14, 16)",2.5856271743774415
"(2, 7, 10, 11, 12, 14)",2.5746002197265625
"(1, 2, 3, 4, 5, 9, 10, 11, 15, 16)",2.5640213012695314
"(3, 5, 8, 10, 12, 14, 15, 16)",2.5332685470581056
"(3, 4, 6, 9, 12, 13)",2.520168495178223
"(1, 2, 3, 4, 6, 7, 8, 9, 10, 12)",2.492034912109375
