Features,Strength
"(8, 10)",3281.3661308289657
"(9, 15)",2815.0349700927736
"(10, 11)",1895.5207519531364
"(11, 15)",1834.8562622070312
"(8, 9)",1746.709846496582
"(5, 13)",1600.9203704833985
"(13, 15)",1457.1568450927796
"(12, 15)",1429.3144042968836
"(9, 13)",1315.2840270996094
"(6, 8)",1276.7359146118165
"(10, 12)",1164.9321899414062
"(10, 15)",1108.4775695800781
"(8, 15)",1063.4613220214844
"(5, 15)",1056.956787109375
"(9, 10)",1023.477046203622
"(8, 14)",995.6076383590744
"(8, 13)",911.0762603759846
"(9, 11)",889.18798828125
"(3, 15)",884.921337890625
"(11, 16)",876.5878601074285
"(5, 9)",872.6248291015712
"(10, 14)",854.5719543457031
"(11, 12)",843.9219238281337
"(9, 11, 15)",818.4262023925781
"(9, 10, 15)",800.3812133789063
"(1, 5)",798.7685791015699
"(6, 13)",786.4200225830078
"(2, 4)",750.5963012695313
"(2, 8)",708.4711303710938
"(14, 16)",645.8179199218827
"(7, 9, 11)",625.2254760742187
"(9, 10, 13)",612.0487670898438
"(8, 10, 12)",603.5986274719238
"(7, 15)",601.9289978027343
"(3, 8)",582.4225128173896
"(14, 15)",581.619564342505
"(1, 5, 12, 15)",560.1585388183594
"(6, 11, 12)",545.6020812988281
"(6, 9)",537.1873718261719
"(6, 10, 13)",529.4570922851562
"(6, 8, 9)",525.039404296875
"(2, 12)",520.7820068359375
"(9, 14, 15)",513.6107055664063
"(7, 8)",513.37138671875
"(8, 9, 11)",497.2331024169922
"(4, 9, 13)",480.06252136230466
"(7, 8, 11)",472.1449829101563
"(3, 11, 15)",466.134814453125
"(8, 12)",460.7234252929687
"(9, 12)",459.05718383789065
"(12, 13)",456.0522923946381
"(1, 5, 9)",452.928271484375
"(11, 14)",452.26104736328125
"(7, 11, 13)",444.57761535644534
"(1, 9, 10, 15)",444.22108154296876
"(1, 10, 15)",437.3197265625
"(3, 11, 15, 16)",435.77568359375
"(5, 12, 15)",435.33763427734374
"(2, 9, 11, 13)",434.1949951171875
"(7, 11, 14)",424.45006103515624
"(4, 8, 10)",417.7050415039063
"(2, 9)",416.410302734375
"(1, 8, 9)",415.9834228515625
"(5, 6, 8)",408.4679931640625
"(4, 12)",404.410595703125
"(7, 8, 14)",403.979052734375
"(8, 14, 16)",398.47418823242185
"(2, 4, 12)",398.1830200195312
"(4, 5)",395.7486328125
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",395.21086077292654
"(7, 8, 9, 11)",392.490673828125
"(5, 11)",391.9947021484375
"(3, 8, 10)",389.94183349609375
"(15, 16)",380.1349243164062
"(9, 11, 13)",378.56972427368163
"(7, 13)",375.06329345703125
"(5, 10, 11)",372.9376953125
"(8, 9, 15)",370.87938232421874
"(2, 4, 10)",369.18316650390625
"(7, 12)",368.62238159179685
"(1, 2, 5, 12, 15)",366.6235107421875
"(4, 7, 12)",365.9052734375
"(2, 4, 9)",351.4946044921875
"(4, 5, 9, 13)",347.4621551513672
"(6, 8, 10, 11, 12, 15)",345.0939086914062
"(13, 14)",340.60004882813155
"(4, 5, 8)",329.82080078125
"(10, 11, 14)",323.156884765625
"(3, 5, 7, 9, 15)",323.0289733886719
"(3, 11, 13, 15, 16)",319.7818359375
"(4, 7, 8, 12)",318.8689208984375
"(7, 9, 10, 12)",316.57550048828125
"(1, 5, 10)",314.62506103515625
"(2, 4, 9, 11)",314.4569091796875
"(7, 10)",312.8295654296875
"(8, 9, 12)",309.690478515625
"(6, 8, 12)",309.2985107421875
"(6, 8, 12, 15)",306.7844802856445
"(4, 7, 8, 10, 12)",303.9763427734375
"(1, 5, 8, 9, 10, 11, 15)",302.74176635742185
"(7, 13, 15)",302.2139282226625
"(6, 7, 10)",301.3151611328125
"(11, 13, 15)",298.74775390625
"(10, 13)",298.7210083008044
"(6, 8, 10, 12, 15)",297.8767578125
"(3, 8, 11, 13, 15, 16)",296.1108642578125
"(9, 10, 12)",295.3230834960938
"(6, 8, 12, 16)",292.80380859375
"(3, 9, 10, 15)",292.27990264892577
"(10, 12, 15)",286.7532470703125
"(6, 7, 9, 10)",285.4601806640625
"(2, 4, 7, 9, 11)",283.9464599609375
"(6, 7, 9, 10, 14)",283.7017578125
"(6, 8, 12, 13, 15, 16)",283.4978052468738
"(6, 9, 11)",278.8316162109375
"(3, 6, 8, 11, 13, 15, 16)",278.0295166015625
"(2, 4, 7, 9, 11, 15)",275.3427978515625
"(2, 5, 12)",274.7511474609375
"(6, 10, 11, 14)",273.6640380859375
"(1, 5, 12)",272.0901123046875
"(9, 11, 13, 15)",271.3588623046875
"(3, 5, 15)",269.7025634765625
"(3, 8, 10, 12, 13, 15)",269.357275390625
"(4, 5, 8, 9)",267.2714599609375
"(10, 11, 12)",265.09397583007814
"(2, 5, 12, 13)",265.087939453125
