Features,Strength
"(13, 15)",17117.4875
"(8, 15)",16851.9890625
"(8, 13)",15310.8140625
"(9, 15)",15066.0890625
"(9, 13)",14621.0265625
"(8, 9)",14446.55625
"(5, 13)",14393.6171875
"(5, 15)",13853.3375
"(12, 15)",13649.1640625
"(5, 8)",13300.403125
"(12, 13)",13258.421875
"(5, 9)",13108.23125
"(11, 15)",12898.9296875
"(8, 10)",12582.26953125
"(8, 11)",12469.06640625
"(10, 13)",12455.57734375
"(11, 13)",12426.33984375
"(10, 15)",12388.55234375
"(1, 5)",12231.11796875
"(6, 15)",12201.71328125
"(8, 12)",12136.8203125
"(6, 8)",11978.18515625
"(15, 16)",11917.92265625
"(6, 13)",11876.9765625
"(9, 10)",11830.35703125
"(4, 9)",11673.66796875
"(8, 16)",11620.3921875
"(9, 12)",11547.37109375
"(13, 16)",11429.24375
"(14, 15)",11361.934375
"(5, 10)",11337.7953125
"(1, 15)",11321.45546875
"(10, 12)",11255.1234375
"(1, 13)",11200.478125
"(9, 11)",11192.478125
"(4, 13)",11175.0171875
"(11, 12)",11128.7046875
"(5, 11)",11053.75234375
"(6, 9)",10957.146875
"(1, 8)",10933.85625
"(10, 11)",10918.24609375
"(5, 12)",10860.49453125
"(4, 15)",10826.29921875
"(13, 14)",10803.89296875
"(8, 14)",10565.6953125
"(9, 14)",10482.83203125
"(2, 15)",10463.7828125
"(4, 8)",10459.240625
"(1, 9)",10336.39375
"(6, 12)",10265.540625
"(9, 16)",10239.39375
"(2, 9)",10207.62109375
"(4, 12)",10135.35546875
"(3, 15)",10130.65859375
"(12, 14)",10128.44296875
"(5, 6)",10057.67421875
"(2, 13)",10045.6734375
"(2, 8)",10037.7546875
"(3, 8)",9961.34296875
"(1, 10)",9946.57578125
"(4, 5)",9939.70234375
"(5, 16)",9827.57578125
"(3, 13)",9743.06015625
"(2, 5)",9738.03125
"(4, 11)",9709.9234375
"(7, 15)",9701.97109375
"(12, 16)",9656.6984375
"(1, 12)",9605.0359375
"(5, 14)",9585.49375
"(10, 14)",9536.66640625
"(6, 10)",9524.3671875
"(2, 4)",9498.6734375
"(11, 14)",9476.503125
"(6, 16)",9443.33828125
"(1, 11)",9400.86953125
"(6, 11)",9395.46328125
"(10, 16)",9337.2546875
"(3, 9)",9225.9203125
"(3, 5)",9208.2171875
"(7, 13)",9180.19140625
"(7, 8)",9142.60703125
"(7, 9)",9084.17265625
"(4, 10)",9030.5984375
"(2, 12)",8976.553125
"(4, 16)",8892.15625
"(11, 16)",8884.71875
"(3, 10)",8861.77421875
"(2, 11)",8724.10546875
"(1, 6)",8710.4578125
"(4, 6)",8652.7125
"(6, 14)",8501.87421875
"(3, 11)",8449.91640625
"(2, 10)",8433.09140625
"(1, 14)",8381.07265625
"(5, 7)",8365.453125
"(7, 11)",8281.84765625
"(14, 16)",8228.40078125
"(4, 14)",8199.8828125
"(2, 14)",8163.41484375
"(1, 2)",8096.68203125
"(3, 12)",8083.89140625
"(7, 12)",8048.825
"(2, 6)",8023.02265625
"(1, 16)",7990.71328125
"(2, 16)",7900.7671875
"(7, 10)",7898.309375
"(6, 7)",7891.003125
"(3, 16)",7819.14375
"(3, 14)",7811.15078125
"(3, 6)",7785.975
"(1, 3)",7750.16484375
"(3, 4)",7699.940625
"(7, 16)",7618.375
"(1, 4)",7601.709375
"(1, 7)",7587.77578125
"(7, 14)",7496.97890625
"(2, 3)",7443.2171875
"(4, 7)",7101.70859375
"(2, 7)",6820.09921875
"(3, 7)",6737.48828125
