Features,Strength
"(8, 9)",152.0337890625
"(13, 15)",146.412060546875
"(8, 13)",141.93460693359376
"(8, 15)",140.001708984375
"(9, 13)",133.410595703125
"(9, 15)",124.044921875
"(9, 10)",121.29862060546876
"(5, 15)",107.6426025390625
"(13, 14)",107.60782470703126
"(10, 15)",106.78779296875
"(5, 8)",105.90653076171876
"(14, 15)",105.3148193359375
"(10, 11)",105.2609130859375
"(9, 14)",104.94637451171874
"(8, 14)",104.90181884765624
"(8, 11)",104.5625
"(9, 11)",103.67139892578125
"(10, 12)",103.1675537109375
"(8, 12)",102.45592041015625
"(12, 13)",101.46536865234376
"(10, 14)",101.26233520507813
"(9, 12)",100.71598510742187
"(5, 13)",100.012060546875
"(6, 8)",97.32388916015626
"(10, 13)",96.4538330078125
"(8, 10)",95.90829467773438
"(8, 16)",95.65516357421875
"(4, 8)",95.3287109375
"(4, 15)",93.86879272460938
"(10, 16)",92.60950927734375
"(11, 13)",91.9775390625
"(11, 15)",90.97130126953125
"(5, 9)",90.7570068359375
"(15, 16)",90.29992065429687
"(13, 16)",90.24161376953126
"(6, 15)",89.48465576171876
"(6, 13)",88.87474365234375
"(12, 16)",88.4718505859375
"(12, 14)",88.33556518554687
"(12, 15)",87.36109619140625
"(7, 15)",87.03821411132813
"(14, 16)",86.05682373046875
"(6, 9)",85.31322021484375
"(1, 8)",85.1764892578125
"(5, 12)",84.71668701171875
"(4, 9)",84.2535400390625
"(1, 15)",83.52008056640625
"(5, 11)",83.48965454101562
"(11, 14)",82.91170654296874
"(5, 14)",80.89324340820312
"(5, 16)",80.86611328125
"(5, 10)",80.84022216796875
"(9, 16)",80.52760009765625
"(7, 8)",79.534033203125
"(1, 5)",79.51285400390626
"(2, 8)",77.66513061523438
"(1, 9)",76.87391967773438
"(7, 10)",76.40089111328125
"(11, 12)",75.97731323242188
"(6, 11)",75.38421630859375
"(3, 15)",75.2591064453125
"(4, 12)",75.23005981445313
"(4, 13)",74.77625732421875
"(11, 16)",74.55692749023437
"(7, 13)",72.5371337890625
"(6, 14)",72.3626708984375
"(2, 12)",71.862744140625
"(3, 8)",71.33089599609374
"(4, 14)",71.06417236328124
"(4, 16)",70.98555908203124
"(3, 9)",70.8732421875
"(6, 16)",69.76295166015625
"(4, 10)",69.478125
"(1, 10)",69.295556640625
"(7, 12)",68.8873779296875
"(1, 13)",68.86273193359375
"(5, 7)",68.857666015625
"(7, 9)",68.81800537109375
"(4, 5)",68.73822021484375
"(1, 16)",68.41593627929687
"(6, 10)",68.2625732421875
"(2, 4)",67.96370239257813
"(1, 11)",67.27796020507813
"(6, 12)",67.0274169921875
"(7, 16)",66.3467041015625
"(1, 12)",66.325390625
"(1, 4)",65.668310546875
"(5, 6)",65.37771606445312
"(4, 6)",64.37235107421876
"(3, 10)",64.152490234375
"(3, 12)",63.58113403320313
"(7, 14)",63.13192138671875
"(1, 6)",62.4400146484375
"(3, 13)",61.99376220703125
"(7, 11)",61.76417236328125
"(3, 5)",61.41077880859375
"(2, 15)",61.362481689453126
"(2, 9)",61.195831298828125
"(1, 14)",60.70560302734375
"(2, 10)",60.45599365234375
"(2, 5)",58.824456787109376
"(3, 4)",57.9499755859375
"(4, 11)",56.58768310546875
"(4, 7)",56.426177978515625
"(3, 16)",56.2456298828125
"(2, 13)",55.532440185546875
"(1, 2)",54.7213134765625
"(2, 11)",51.31502685546875
"(3, 11)",50.76175537109375
"(2, 14)",50.647088623046876
"(6, 7)",49.845941162109376
"(1, 7)",49.062069702148435
"(1, 3)",47.97770385742187
"(2, 6)",47.756884765625
"(3, 14)",47.67707214355469
"(2, 7)",46.10657958984375
"(2, 3)",45.490423583984374
"(3, 6)",45.288458251953124
"(2, 16)",41.0632568359375
"(3, 7)",36.122824096679686
