Features,Strength
"(1, 2)",7228.55832163494
"(2, 3)",2195.7764816284193
"(3, 4)",1874.6887346903657
"(5, 7, 8)",1530.709671020514
"(5, 8)",1206.1038036346529
"(5, 7)",1179.382990519208
"(7, 8)",1136.5982259114612
"(4, 5, 7, 8)",1031.8147513071701
"(4, 5, 7, 8, 9)",451.98980840047307
"(4, 7, 8)",425.70255788167316
"(9, 10)",421.95176696777486
"(1, 2, 9)",404.2798156738281
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",375.7680640618396
"(4, 5, 8)",284.9764149983724
"(4, 9)",211.7295405070006
"(2, 3, 9)",195.49158986409506
"(3, 9)",143.76889801026678
"(4, 5, 9)",104.64760430654191
