Features,Strength
"(1, 2)",8665.832682291666
"(5, 8)",4852.428059895833
"(7, 8)",4707.9794921875
"(5, 7)",4441.474934895833
"(2, 3)",3714.2975260416665
"(4, 8)",3649.7561848958335
"(4, 5)",3612.7444661458335
"(3, 4)",3503.9446614583335
"(4, 7)",3276.5432942708335
"(4, 9)",2816.8671875
"(2, 9)",2591.20654296875
"(5, 9)",2554.9454752604165
"(8, 9)",2509.1749674479165
"(7, 9)",2454.9378255208335
"(1, 9)",2426.27294921875
"(3, 9)",2370.9195963541665
"(9, 10)",2155.80029296875
"(2, 4)",2101.3006184895835
"(2, 8)",2036.39697265625
"(1, 8)",1991.2106119791667
"(2, 5)",1978.36328125
"(1, 4)",1957.9080403645833
"(2, 7)",1899.9767252604167
"(1, 5)",1892.7337239583333
"(1, 7)",1863.31884765625
"(6, 9)",1858.94775390625
"(4, 10)",1715.1100260416667
"(2, 10)",1681.0826822916667
"(2, 6)",1666.2101236979167
"(1, 3)",1654.7027994791667
"(8, 10)",1626.1819661458333
"(7, 10)",1620.1793619791667
"(3, 5)",1618.2508138020833
"(1, 10)",1610.46630859375
"(3, 8)",1608.3450520833333
"(4, 6)",1586.3600260416667
"(5, 10)",1579.42578125
"(3, 7)",1553.359375
"(3, 6)",1529.08984375
"(3, 10)",1505.8533528645833
"(1, 6)",1481.4677734375
"(6, 10)",1465.3318684895833
"(5, 6)",1421.1184895833333
"(6, 7)",1405.6599934895833
"(6, 8)",1389.7654622395833
