Features,Strength
"(1, 2)",4.36349248971277
"(5, 7)",1.3192112624646173
"(5, 8)",1.1740546070039692
"(3, 4)",1.1572942319888093
"(7, 8)",1.156256152689529
"(2, 3)",0.9272205453599544
"(4, 7)",0.7810013353824975
"(4, 5)",0.7517854720354415
"(4, 8)",0.5742069959640984
"(5, 7, 8)",0.43258484015243115
"(4, 5, 8)",0.2443369312211871
"(4, 7, 8)",0.22034423081205828
"(4, 5, 7)",0.12416178584100593
"(4, 5, 7, 8)",0.04672183906659676
"(1, 2, 3)",0.03775990806392841
"(1, 2, 4)",0.02552575769442403
"(1, 4)",0.023640654236085704
"(3, 4, 7)",0.007027907785977866
"(3, 4, 5, 7)",0.006794626545161009
"(1, 2, 10)",0.005954115871561636
"(1, 5, 7)",0.00510488413276249
"(1, 4, 5, 7, 8)",0.00430403519422132
"(4, 5, 8, 10)",0.0040310007520020005
"(1, 2, 3, 4)",0.003741449993699833
"(3, 5, 7, 8)",0.003583457320931792
"(1, 3, 4)",0.003397332644094954
"(4, 5, 7, 8, 9)",0.003075034823278843
"(4, 7, 9)",0.0028941625729203223
"(3, 4, 5, 7, 9)",0.0027842275798328434
"(2, 5, 7, 8)",0.0027828965336103195
"(3, 4, 6)",0.0027374288998544215
"(2, 4, 5, 8)",0.0023146132938685806
"(1, 5, 7, 8)",0.002264813520014286
"(2, 4, 5, 7, 8)",0.0022022269666194918
"(2, 4, 5, 7)",0.002191657852383053
"(3, 4, 5, 8, 10)",0.0021484093740582466
"(1, 5, 6, 7, 8)",0.0020980041706934573
"(4, 7, 10)",0.0020939109846949576
"(1, 3, 4, 5, 7, 8)",0.0020784580032363045
"(1, 4, 5, 7)",0.0020428501069545747
"(3, 7, 8, 9)",0.002020081784578247
"(1, 3, 5, 7)",0.0020110433921234766
"(3, 4, 5, 7, 8)",0.001999974763020873
"(5, 6, 7, 8)",0.0019437159411645442
"(3, 7, 8)",0.00190298892557621
"(3, 5, 8, 10)",0.0019000583328306676
"(2, 5, 7, 8, 10)",0.0018974005477502942
"(3, 4, 6, 7)",0.0018606109544649682
"(1, 2, 4, 10)",0.00182955317723685
