Features,Strength
"(1, 2)",2.5152542114257814
"(5, 8)",1.113065528869629
"(7, 8)",1.0000551223754883
"(5, 7)",0.994654655456543
"(4, 5)",0.866334056854248
"(4, 8)",0.8309746742248535
"(4, 7)",0.7096426486968994
"(2, 3)",0.7051392078399659
"(3, 4)",0.629216194152832
"(1, 4)",0.16491963863372802
"(2, 4)",0.1041995644569397
"(2, 7)",0.06402899026870727
"(2, 5)",0.06039758920669556
"(2, 8)",0.0545866847038269
"(1, 7)",0.05122118592262268
"(1, 3)",0.04975365400314331
"(2, 9)",0.049419713020324704
"(1, 9)",0.048400980234146115
"(3, 7)",0.048114454746246337
"(3, 8)",0.04673020541667938
"(3, 5)",0.04306660890579224
"(1, 5)",0.03895473182201385
"(1, 8)",0.0356884241104126
"(4, 9)",0.03209468722343445
"(7, 9)",0.030234718322753908
"(8, 10)",0.02911350131034851
"(7, 10)",0.028356891870498658
"(8, 9)",0.028014487028121947
"(5, 10)",0.02792777121067047
"(4, 10)",0.027095839381217957
"(2, 10)",0.024415957927703857
"(1, 10)",0.024375945329666138
"(2, 6)",0.023067672550678254
"(3, 9)",0.022993388772010803
"(6, 8)",0.022472402453422545
"(3, 10)",0.022366803884506226
"(5, 6)",0.022233162820339204
"(4, 6)",0.022092470526695253
"(1, 6)",0.021630503237247467
"(6, 7)",0.021199046075344084
"(5, 9)",0.020348593592643738
"(6, 9)",0.014705485105514527
"(3, 6)",0.014673039317131042
"(9, 10)",0.013844624161720276
"(6, 10)",0.013127976655960083
