Features,Strength
"(1, 2)",0.2798884391784668
"(7, 9)",0.22699837684631347
"(4, 5)",0.1683030128479004
"(5, 7)",0.10076839923858642
"(3, 5)",0.094829261302948
"(3, 7)",0.08872773647308349
"(5, 9)",0.027234649658203124
"(4, 7)",0.021430423855781554
"(4, 9)",0.019407236576080324
"(3, 9)",0.018818707764148714
"(2, 3)",0.012750977277755737
"(1, 3)",0.012696108222007752
"(1, 7)",0.008113760501146317
"(1, 9)",0.007802673429250717
"(2, 7)",0.007649217545986175
"(2, 9)",0.007209273427724839
"(1, 5)",0.006792614609003067
"(2, 5)",0.006500556319952011
"(3, 4)",0.00540323331952095
"(1, 4)",0.0020984752103686334
"(2, 4)",0.0017009664326906205
"(7, 10)",0.0016951890662312507
"(4, 10)",0.0016144637018442153
"(3, 10)",0.0014926199801266193
"(5, 10)",0.0014604657888412475
"(6, 7)",0.0012138848192989825
"(2, 10)",0.0012094339355826378
"(6, 9)",0.0012022938579320907
"(1, 10)",0.0011309126392006874
"(8, 9)",0.0010798193514347076
"(5, 6)",0.0010282600298523903
"(3, 6)",0.0009857745841145515
"(5, 8)",0.0009806720539927483
"(7, 8)",0.0009585030376911164
"(3, 8)",0.000942629761993885
"(4, 6)",0.0008761338889598846
"(2, 8)",0.0008637771941721439
"(2, 6)",0.0007599524222314357
"(9, 10)",0.0007454897742718459
"(6, 10)",0.0007395503111183643
"(6, 8)",0.0006793043576180935
"(1, 8)",0.0006473470944911242
"(1, 6)",0.0006441257894039154
"(4, 8)",0.0005146053619682789
"(8, 10)",0.0004978599026799202
