Features,Strength
"(1, 2)",4.539947328460442
"(7, 8)",1.2449016243219997
"(5, 8)",1.1966521799564798
"(5, 7)",1.132576404511988
"(2, 3)",1.0581434786320412
"(3, 4)",1.0049372745678398
"(4, 5)",0.7196430832147909
"(1, 4)",0.6922964340076438
"(4, 7)",0.6012550845742741
"(4, 8)",0.5403029207140623
"(5, 7, 8)",0.43542452678086174
"(4, 5, 7)",0.27476790975780996
"(4, 7, 8)",0.26052095992491014
"(4, 5, 8)",0.1812380276620465
"(1, 2, 4)",0.06543138518464502
"(4, 5, 7, 8)",0.06542217000388315
"(1, 2, 3)",0.031150771553012803
"(4, 9)",0.026247173547753494
"(3, 4, 9)",0.014080826805622407
"(3, 4, 5, 7)",0.009992793528363108
"(1, 2, 3, 4)",0.007951730498469842
"(1, 3, 4, 9)",0.0077721282839796155
"(3, 5, 8)",0.006582892686134883
"(3, 4, 5, 7, 8)",0.005792610673239895
"(1, 4, 5, 7, 8)",0.005629285052419936
"(1, 2, 9)",0.0054560921853502534
"(1, 5, 7, 8)",0.004915990587323904
"(7, 9)",0.004598264023666622
"(3, 5, 7, 8)",0.004472950519993901
"(3, 4, 8)",0.004036155855287864
"(1, 3, 4)",0.003904549218714237
"(4, 5, 8, 10)",0.0035216543823497295
"(1, 3)",0.0031049925833940505
"(1, 2, 7)",0.0030754153831139774
"(3, 5, 7)",0.0029382236301902205
"(1, 3, 4, 5, 7, 8)",0.002797940040594027
"(1, 7)",0.002790554054096199
"(3, 4, 7, 8, 10)",0.002638072404079139
"(4, 5, 7, 9)",0.0025981046259443484
"(3, 4, 7)",0.002559331804517792
"(3, 4, 5, 7, 9)",0.0024246577173479113
"(4, 5, 7, 8, 9)",0.002415243443105047
"(5, 7, 8, 10)",0.0023205773904919624
"(6, 7, 8)",0.002140847407283101
"(2, 4, 5, 7, 8)",0.0020220723003149033
"(4, 5, 7, 9, 10)",0.002021999843428745
"(3, 4, 8, 10)",0.0019087135791778565
"(2, 4, 5, 7)",0.0018560636788606643
"(4, 5, 6, 7, 8)",0.0017955741088414654
"(1, 2, 4, 9)",0.001789097231812775
"(2, 3, 5, 8)",0.0017710538581066266
"(4, 5, 7, 8, 10)",0.0017207798548042775
"(5, 6, 7)",0.0017136661335887238
"(1, 4, 7, 8)",0.0016459040343910329
"(3, 4, 5, 7, 8, 9)",0.0016345505602657795
"(1, 2, 4, 5)",0.0015989454579568875
"(2, 4, 5, 8, 9)",0.0015464558266118093
"(4, 6, 7, 8)",0.001541220769287309
"(4, 8, 9)",0.001486049685627222
"(1, 2, 4, 8)",0.0014849630417302251
"(2, 4, 5, 8)",0.0014111363329016237
"(3, 4, 7, 10)",0.0014042812399596846
"(5, 6, 7, 8, 10)",0.0013624035287648439
"(1, 4, 6)",0.0013499178923666478
"(5, 7, 8, 9)",0.0013447116129100324
"(1, 2, 6, 7)",0.0013300240971148014
"(3, 4, 6)",0.0012694992125034331
"(4, 5, 9)",0.001266401633620262
"(2, 4, 5, 8, 9, 10)",0.0012524090707342378
"(2, 3, 5, 7, 8)",0.0012420775368843608
"(3, 4, 6, 7)",0.0012386116199195386
"(1, 3, 4, 5, 7)",0.0012139298487454653
"(1, 2, 4, 7)",0.001146446238275584
"(1, 2, 4, 7, 9)",0.0011313519324216677
"(1, 3, 8)",0.0011237751692587579
"(1, 2, 3, 6, 7)",0.001096426066942513
"(2, 3, 4, 5, 8)",0.0010958000086263584
"(4, 7, 8, 9)",0.0010588365606963635
"(3, 5, 8, 9)",0.0010553648695396823
"(4, 5, 7, 8, 9, 10)",0.001055345404894268
"(2, 4, 5, 7, 8, 9)",0.0010296510532498359
"(1, 4, 8)",0.0009538718499243259
"(5, 8, 10)",0.000896928831940192
"(1, 2, 3, 10)",0.0008936570164223667
"(3, 5, 8, 9, 10)",0.0008923773653845554
"(1, 2, 3, 6, 7, 10)",0.0008623073808848858
"(2, 3, 4, 5, 7, 9)",0.0008500410243871418
"(1, 2, 6)",0.0008388393325731158
"(3, 4, 5, 8, 10)",0.0008245648816227913
"(1, 2, 3, 4, 5, 7, 9)",0.0008234096283607475
"(1, 2, 8, 9)",0.0008160715922713279
"(1, 2, 3, 6)",0.0008155828437457994
"(4, 6, 7, 8, 10)",0.0008034445345432543
"(3, 4, 8, 9, 10)",0.0007984082214534283
"(1, 4, 5, 7, 8, 9)",0.0007508739363402128
"(5, 8, 9, 10)",0.0007494211662591668
"(1, 3, 4, 5, 7, 8, 9)",0.0007454888662323355
"(2, 3, 4, 5, 7, 8)",0.0007444103248417377
"(4, 5, 6, 7, 8, 10)",0.0007381647825241089
"(4, 5, 6, 7, 8, 9)",0.0007366308011114598
"(2, 3, 4, 5, 7, 8, 10)",0.0007362696807853662
"(4, 5, 6, 7, 8, 9, 10)",0.0007241536397490181
"(4, 5, 6, 8, 10)",0.0007144391536712646
"(3, 4, 8, 9)",0.0007093627471476793
"(2, 4, 5, 6, 7, 8)",0.0007023437094209644
"(2, 3, 6, 7, 8)",0.0006983746308833361
"(1, 4, 8, 9)",0.0006801036186516285
"(4, 6, 7, 8, 9, 10)",0.0006678303703703161
"(3, 5, 6, 7, 8)",0.0006611182354390622
"(1, 2, 3, 4, 5, 8)",0.0006508592399313784
"(3, 5, 6, 8, 9, 10)",0.000646112067629429
"(3, 4, 5, 6, 7, 8, 9)",0.0006435234099645475
"(1, 2, 3, 4, 9)",0.0006299839355051517
"(1, 2, 3, 6, 7, 9, 10)",0.0006293384538472443
"(1, 2, 3, 4, 7, 9)",0.0006277337957726559
"(6, 7, 8, 10)",0.0006197566166520118
"(3, 4, 6, 7, 10)",0.0005937362089753151
