K,acc,auc
1,0.71039375,0.6587871529938192
2,0.7092225,0.6564188654849327
3,0.72911,0.6983963604621355
4,0.7297250000000001,0.6991211005321954
5,0.7315025,0.7011502772742434
6,0.73622625,0.7077150710162176
7,0.7377825,0.70912705433766
8,0.73766125,0.7092625058288203
9,0.7378262500000001,0.7094368222266645
10,0.7374799999999999,0.709072903762823
11,0.74454375,0.7171100689657466
12,0.7578575,0.7317676769302444
13,0.76012875,0.7342627184392595
14,0.7623262499999999,0.736833928698592
15,0.7620050000000002,0.7365545929604053
16,0.76350875,0.7384797035200515
17,0.76414125,0.7391611716673832
18,0.7643025000000001,0.7395134896174513
19,0.7641237500000001,0.7392584107721187
20,0.7660862500000001,0.7408783879489873
21,0.7656287500000001,0.7405325930585233
22,0.7666999999999999,0.7416491525607007
23,0.76667625,0.7419480595293731
24,0.76789,0.7433655169484481
25,0.76777,0.7430599064420393
26,0.76751,0.7428487385530301
27,0.7670637499999999,0.7423989656078703
28,0.767755,0.7433009602153062
29,0.76775,0.7431623119582107
30,0.76719,0.74276298914586
